MVA = "countries/Goebbels.txt"
MTA = "countries/Goebbels.txt"
MOA = "countries/Goebbels.txt"
MZA = "countries/Goebbels.txt"
GGB = "countries/WestEur.txt"
CRN = "countries/WestEur.txt"
RRB = "countries/WestEur.txt"
IBR = "countries/WestEur.txt"
ITT = "countries/WestEur.txt"
RFA = "countries/WestEur.txt"
HNG = "countries/WestEur.txt"
VSJ = "countries/VS Judea.txt"
VST = "countries/VS Turania.txt"

ING = "countries/CollapsRussian.txt"
PTZ = "countries/CollapsRussian.txt"
VLG = "countries/CollapsRussian.txt"
GRF = "countries/CollapsRussian.txt"
IZH = "countries/CollapsRussian.txt"
BSK = "countries/CollapsRussian.txt"
RRV = "countries/CollapsRussian.txt"
URP = "countries/CollapsRussian.txt"
NWP = "countries/CollapsRussian.txt"
KZK = "countries/CollapsRussian.txt"
GGL = "countries/CollapsRussian.txt"
SMR = "countries/CollapsRussian.txt"
PTS = "countries/CollapsRussian.txt"
PVD = "countries/CollapsRussian.txt"
TMN = "countries/CollapsRussian.txt"
SVD = "countries/CollapsRussian.txt"
SUG = "countries/CollapsRussian.txt"
NVS = "countries/CollapsRussian.txt"
SAT = "countries/CollapsRussian.txt"
ISM = "countries/Asian.txt"
KST = "countries/Asian.txt"
BUH = "countries/Asian.txt"
HRZ = "countries/Asian.txt"


#新增tag
KBL = "countries/CollapsRussian.txt"  #卡累利阿公国
MUR = "countries/CollapsRussian.txt"  #摩尔曼斯克王国
BLK = "countries/CollapsRussian.txt"  #森林游击队
OHT = "countries/CollapsRussian.txt"  #人民革命军
#tno俄罗斯崩溃
VOR = "countries/VOR.txt"  #沃尔库塔
ONG = "countries/ONG.txt"  #奥涅加
WRS = "countries/WRS.txt"  #西俄罗斯革命阵线
VOL = "countries/VOL.txt"  #沃洛格达
KOM = "countries/KOM.txt"  #科米
GOR = "countries/GOR.txt"  #高尔基
VYT = "countries/VYT.txt"  #维亚特卡
PRM = "countries/PRM.txt"  #雅利安兄弟会
URL = "countries/URL.txt"  #乌拉尔联盟
SAM = "countries/SAM.txt"  #萨马拉
ORB = "countries/ORB.txt"  #奥伦堡
ZLT = "countries/ZLT.txt"  #兹拉托乌斯克
MGN = "countries/MGN.txt"  #马格尼托格尔斯克
DRL = "countries/DRL.txt"  #迪勒万格旅
KAZ = "countries/KAZ.txt"  #哈萨克社会主义共和国
TYM = "countries/TYM.txt"  #西西伯利亚人民共和国
SVR = "countries/SVR.txt"  #乌拉尔军区
YGR = "countries/YGR.txt"  #尤格拉律贼领地
KEM = "countries/KEM.txt"  #克麦罗沃公国
SHE = "countries/SHE.txt"  #阿尔泰苏维埃王国
ALT = "countries/ALT.txt"  #奥伊罗特
NOV = "countries/NOV.txt"  #新西伯利亚
TOM = "countries/TOM.txt"  #托木斯克
OMS = "countries/OMS.txt"  #黑色联盟
KRS = "countries/KRS.txt"  #克拉斯诺亚尔斯克
SBA = "countries/SBA.txt"  #西伯利亚黑军
IRK = "countries/IRK.txt"  #伊尔茨库克
AMR = "countries/AMR.txt"  #阿穆尔
KNS = "countries/KNS.txt"  #布里亚特
SBR = "countries/SBR.txt"  #外贝加尔公国
KMC = "countries/KMC.txt"  #勘察加
MGD = "countries/MGD.txt"  #马加丹
OMO = "countries/OMO.txt"  #无人区&西伯利亚神授国
