#经济
PLA_gjswayh_dynamic_modifier = {
	icon = GFX_idea_PLA_yujieco
	enable = { always = yes }
	remove_trigger = { always = no }
	production_speed_buildings_factor = PLA_gjswayh_jianzaosudu #建筑速度
	consumer_goods_factor = PLA_gjswayh_factory_cg #消费品
	industrial_capacity_factory = PLA_gjswayh_factory_ic #工厂产出
	production_speed_industrial_complex_factor  = PLA_gjswayh_factory_psi #民工速度
	production_speed_arms_factory_factor = PLA_gjswayh_factory_psa #军工速度
	production_speed_dockyard_factor = PLA_gjswayh_factory_psd #海工速度
	production_speed_rail_way_factor = PLA_gjswayh_factory_psr #铁路速度
	production_speed_infrastructure_factor = PLA_gjswayh_jichusheshi #基建造速度
	production_factory_max_efficiency_factor = PLA_gjswayh_factory_pfm #生产效率上限
	production_factory_start_efficiency_factor = PLA_gjswayh_factory_pfs #基础生产效率
	PRODUCTION_FACTORY_EFFICIENCY_GAIN_FACTOR= PLA_gjswayh_factory_pae #生产效率增长
	global_building_slots = PLA_gjswayh_jiacheng #最大工业产值
	political_power_factor = PLA_gjswayh_com #百分比增加政治点数
	stability_factor = PLA_gjswayh_sta  #增加稳定
	trade_opinion_factor = PLA_gjswayh_trade_opinion #贸易修正
	min_export = PLA_gjswayh_export_opinion #出口资源
	conscription_factor =  PLA_gjswayh_conscription_factor #百分比减少兵
	INDUSTRIAL_FACTORY_DONATIONS= PLA_gjswayh_factory_ifd #民工捐赠
	MILITARY_FACTORY_DONATIONS= PLA_gjswayh_factory_mfd #军工捐赠
}
#新民民主义革命
PLA_zgtsshzy_dynamic_modifier = {
	icon = GFX_idea_PLA_xmzygm
	enable = { always = yes }
	remove_trigger = { always = no }
	consumer_goods_factor = PLA_zgtsshzy_factory_cg #消费品
	army_core_attack_factor = PLA_zgtsshzy_core_att #核心攻击
	local_resources_factor = PLA_zgtsshzy_resources #资源开采
	trade_opinion_factor = PLA_zgtsshzy_trade_opinion #贸易修正
	consumer_goods_factor = var_PLA_zgtsshzy_factory_cg #消费品
	army_core_attack_factor = var_PLA_zgtsshzy_core_att #核心攻击
	local_resources_factor = var_PLA_zgtsshzy_resources #资源开采
	stability_factor = zouxiangfuxing01 #稳定度（百分比，正数为buff）
	war_support_factor = zouxiangfuxing02 #战争支持度（百分比，正数为buff）
	political_power_gain = zouxiangfuxing03 #每日获得的政治点数（固定值，正数为buff）
	political_power_factor = zouxiangfuxing04 #政治点数（百分比，正数为buff）
	conscription_factor = zouxiangfuxing05 #适役人口修正（正数为buff）
	local_intel_to_enemies = zouxiangfuxing06 #敌人获取的情报（负数为buff）
	consumer_goods_factor = zouxiangfuxing07 #生活消费品工厂系数（百分比，负数为buff）
	opinion_gain_monthly_factor = zouxiangfuxing08 #改善关系（百分比，正数为buff）
	production_speed_buildings_factor = zouxiangfuxing09 #建造速度（正数为buff）
	production_factory_max_efficiency_factor = zouxiangfuxing10 #生产效率上限（正数为buff）
	encryption_factor = zouxiangfuxing11 #加密（百分比，正数为buff）
	industry_free_repair_factor = zouxiangfuxing12 #免费维修（免费维修速度加成，正数为buff）
	trade_opinion_factor = zouxiangfuxing13 #贸易协定关系修正（百分比，正数为buff）
	send_volunteer_size = zouxiangfuxing14 #志愿军部队数量上限（固定值，正数为buff）
	justify_war_goal_time = zouxiangfuxing15 #正当化战争目标所需时间（百分比，负数为buff）
	resistance_decay = zouxiangfuxing16 #抵抗速度下降（百分比，正数为buff）
	resistance_growth = zouxiangfuxing17 #抵抗速度增长（百分比，负数为buff）
	resistance_growth_on_our_occupied_states = zouxiangfuxing18 #我们被敌人占领地区的抵抗增长速度（百分比，正数为buff）
	compliance_growth_on_our_occupied_states = zouxiangfuxing19 #我们被敌人占领地区的顺从度增长速度（百分比，负数为buff）
	resistance_damage_to_garrison = zouxiangfuxing20 #驻军所受伤害（百分比，负数为buff）
	resistance_damage_to_garrison_on_our_occupied_states = zouxiangfuxing21 #对我们被敌人占领地区的驻军伤害（百分比，正数为buff）
	required_garrison_factor = zouxiangfuxing22 #驻军需求（负数为buff）
	civilian_intel_factor = zouxiangfuxing23 #民政情报（百分比，正数为buff）
	army_intel_factor = zouxiangfuxing24 #陆军情报（百分比，正数为buff）
	navy_intel_factor = zouxiangfuxing25 #海军情报（百分比，正数为buff）
	airforce_intel_factor = zouxiangfuxing26 #空军情报（百分比，正数为buff）
	intelligence_agency_defense = zouxiangfuxing27 #反间谍（固定值，正数为buff）
    operative_slot = zouxiangfuxing28 #特工位（固定值，正数为buff）
	intel_network_gain = zouxiangfuxing29 #情报网强度增长（固定值，正数为buff）
	enemy_operative_detection_chance_factor = zouxiangfuxing30 #敌方特工被发现几率系数（百分比，正数为buff）
	civilian_intel_to_others = zouxiangfuxing31 #泄露给他国的民政情报（百分比，*100，负数为buff）
	army_intel_to_others = zouxiangfuxing32 #泄露给他国的陆军情报（百分比，*100，负数为buff）
	navy_intel_to_others = zouxiangfuxing33 #泄露给他国的海军情报（百分比，*100，负数为buff）
	airforce_intel_to_others = zouxiangfuxing34 #泄露给他国的空军情报（百分比，*100，负数为buff）
	agency_upgrade_time = zouxiangfuxing35 #情报机构时间（百分比，负数为buff）
	operation_cost = zouxiangfuxing36 #行动花费（百分比，负数为buff）
	totalist_drift = zouxiangfuxing37 #极权主义支持度每日变化（固定值，小数，正数为buff）
	radical_socialist_drift = zouxiangfuxing38 #激进社会主义支持度每日变化（固定值，小数，正数为buff）
